"x","msg_reg","LF_agg"
0.6,"FSU",0.671641514185125
0.61,"FSU",0.696568824462164
0.62,"FSU",0.692697061985636
0.63,"FSU",0.66899247214445
0.64,"FSU",0.684484395588747
0.65,"FSU",0.679506597240101
0.66,"FSU",0.687317645519573
0.67,"FSU",0.67555468764712
0.68,"FSU",0.678262421490996
0.69,"FSU",0.677986661129073
0.7,"FSU",0.686016702069972
0.71,"FSU",0.553613440533841
0.72,"FSU",0.600354202797452
0.73,"FSU",0.590411085741392
0.74,"FSU",0.681750892921231
0.75,"FSU",0.677903502722498
0.76,"FSU",0.591570074687418
0.77,"FSU",0.594891799862848
0.78,"FSU",0.595294285281303
0.79,"FSU",0.555344077280639
0.8,"FSU",0.670057268916902
0.81,"FSU",0.652609577930044
0.82,"FSU",0.620668565649973
0.83,"FSU",0.651328670956813
0.84,"FSU",0.525124712813711
0.85,"FSU",0.581326024405642
0.86,"FSU",0.699018086074445
0.87,"FSU",0.668636535553154
0.88,"FSU",0.555226402605537
0.89,"FSU",0.526776298060197
0.9,"FSU",0.541239405361093
0.91,"FSU",0.657327562165633
0.92,"FSU",0.591416758466285
0.93,"FSU",0.542219500461917
0.94,"FSU",0.695357452970198
0.95,"FSU",0.631547576903532
0.96,"FSU",0.522072689199259
0.97,"FSU",0.541666172304213
0.98,"FSU",0.547773593002783
